metric,skewness,kurtosis,p50,p95,p99,max
memory_usage_bytes,2.318620937306923,4.72744575203793,471329720.0,1351044814.0999992,1581406523.33,1697344070.0
http_p99_latency_ms,3.309520823072889,16.92071075705291,74.0,745.91,1699.8799999999997,2789.8
http_5xx_rate,2.7740877683960257,7.394720307064386,0.38,9.53,14.428099999999999,16.78
jvm_gc_pause_ms_avg,1.1625325858407078,1.8055024455361783,52.1,131.0349999999998,162.381,187.4
container_restart_count,3.198482113276293,10.46940226388838,0.0,3.0,7.0,7.0
